,q_text,answer,q_type
912,重庆小面的主要工艺有哪些？,煮、拌,1
913,腾讯由谁创办？,马化腾,2
914,淡定哥出了什么事儿？,交通事故,2
915,中华人民共和国行政诉讼法何时施行的？,2015年5月1日,5
916,passion的时间长度是多少？,43分51秒,4
917,犬瘟热有什么传染性？,有传染性、高,1
918,丰富衣橱2的游戏有多大？,2065k,4
919,益友螺旋藻有哪些成分？,蛋 白 质: 55-70g,6
920,孙建军是什么职位？,教授,2
921,西湖在哪个地区？,湖北省黄冈市,3
922,三剑客有什么颜色？,彩色,1
923,月光的mv导演是谁？,彭宥纶,2
924,htc one有多大内存？,"rom: 16 gb, ram: 2 gb",4
925,格兰仕kfr-32gw/dlp45-130的空调匹数是多少？,：小1.5p,4
926,中山路的终点是哪里？,淮浦南路,3
927,女神联盟有哪些奖项？,2013页游&移动游戏峰会十佳页游,1
928,优派mw291鼠标的最高分辨率是什么？,无线,4
929,上海佳豪主要经营什么？,各类运输船舶和海洋工程装备设计,1
930,桑佛大学的网址是？,http://www.samford.edu/,1
931,董小飒有哪些绰号？,董弱鸡、董欢欣、董记龙、董日蟹,2
932,鲁大师由谁开发？,鲁锦,2
933,破产清算会计主要负责什么业务？,审计会计报表、验证资本、,1
934,陈宁的临床职称是什么？,南京医科大学附属口腔医院副院长、教授,2
935,越南战争的指挥官和领导者分别是谁？,胡志明 黎笋 武元甲 文进勇 黎仲迅 范文同 黄文泰（英语：hoàng v?n thái） 陈文茶（英语：tr?n v?n trà） 阮文灵 阮友寿 ...及其他（英语：leaders of the vietnam war）,2
936,网上检索引擎如何工作？,全文搜索引擎,1
937,幻梦公会的游戏名字是？,剑侠情缘一/二/外传,6
938,孙策属于什么官职？,殄寇将军→讨逆将军，会稽太守,2
939,仙魔变的标签有哪些？,动作 对战 英雄,1
940,创舰cjc-368使用什么音箱系统？,2.0声道,6
941,微星k9a2gm-fih使用什么集成芯片？,声卡/网卡,6
942,贸易自由化原则遵循什么原则？,关税减让原则,1
943,贝复舒滴眼液的主要成分是？,重组牛碱性成纤维细胞生长因子,6
944,the wanted有哪些成员？,max,2
945,倩女幽魂由谁制片？,温嘉文 钟珍 叶百全 周国忠,2
946,凤凰山怎么走？,位于邹城东北40公里，田黄、城前、张庄三个镇的交界处。,3
947,dutch如何发音？,kk: [d?t?],1
948,摩托罗拉zante 有多重？,150 克,4
949,王强的其他作品有哪些？,《秋天不回来》《不想让你哭》等,6
950,地缚神的复活的卡片种类是？,64187086,6
951,中山桥有多宽？,50米（160英尺）,4
952,车太铉的原文名怎么写？,???,1
953,最游记的动画制作由谁负责？,东京kids（日语：東京キッズ）,2
954,海尔bcd-231wdcv的总容积是多少？,231l,4
955,博略属于哪个政府？,jean-pierre ballé,3
956,辛集镇使用什么方言？,河南话,1
957,泰坦尼克号的制片成本是多少？,2.3亿美元,4
958,落水洞村的平均气温是多少？,15.00℃,4
959,请对佩皮尼昂－菲格雷斯高速铁路描述一下概览？,法国佩皮尼昂 ?西班牙菲格雷斯,1
960,首尔sk骑士是谁的主场？,首尔,6
961,雧的郑码是多少？,ninf，u：96e7，gbk：eb7d,1
962,摩根大通总资产有多少？,2.5万亿美元,4
963,《兄弟》主要获得了哪些奖项？,多次斩获全国各地收视冠军，并夺得北京电视台颁发的“最佳收视贡献奖”。,1
964,蓪总共有多少笔画？,17,4
965,nsk mr117/mr117zz轴承的品牌叫什么？,微型深沟球轴承,6
966,广州恒大淘宝足球俱乐部的主教练叫什么？,卡纳瓦罗,2
967,乐力钙的批准文号是多少？,国食健字g20070361,4
968,元素英雄神·新宇侠的卡片密码是多少？,31111109,4
969,枣林站是什么等级的车站？,现为四等站,4
970,第3次吉田内阁的罗马字怎么写？,daisanji yoshida dainiji kaizō naikaku,1
971,福特野马的生产厂商是谁？,美国福特汽车,6
972,零口站的邮编是多少？,710607,4
973,赵光祖的汉字怎么写？,趙光祖,1
974,高田ic 与起点有多少距离？,0.0km（起点：高田ic）,4
975,李明何时死的？,1933年,5
976,华硕公司的口号是什么？,"华硕品质,坚若磐石",1
977,陀螺戰士何时播出？,2001年1月8日－2001年12月24日 2002年3月28日 - 2002年10月1日,5
978,n-i运载火箭的直径有多长？,2.44米（8.0英尺）,4
979,迪·布朗的职业生涯如何？,伊利诺伊大学,2
980,陶圆梦的品质如何？,精选最上等的高原牦牛骨粉,1
981,天宁寺什么时候建造的？,后周文顺二年（952年,5
982,大手町站的车站编号是多少？,m 18,4
983,十二生肖之马上就好属于哪个机构？,安徽电影集团有限责任公司,6
984,hp pavilion dv2304tx的显示屏是什么尺寸的？,intel,4
985,纤维水泥板的生产厂家有？,金特建材,6
986,林肯县统计了哪些资料？,"february 20, 1796",1
987,徐州市淮海西路中心小学有多少在校生？,900人,4
988,难波圭一隶属哪里？,青二production,3
989,华南虎是什么亚种？,华南虎亚种,6
990,美丽中国古老长城属于哪个部门负责？,国家旅游局,6
991,维纳斯和阿多尼斯何时创作的？,约1847年,5
992,thinkpad x61s 7666ku1使用哪种芯片组？,intel gm965+ich8-m,6
993,上海市建筑市场管理条例什么时候实施的？,2014年10月1日,5
994,赵炳新从事什么行业？,产业网络理论及应用,6
995,忍者神龟预算是多少？,1.25亿美元[4][5][6],4
996,美淘家属于什么行业？,家居,6
997,凯尔·科沃尔通过哪个nba选秀？,2003年第二轮第22位被76人队选中,2
998,独医无二通过哪个平台连载？,起点中文网。,6
999,王海是什么军衔？,空军上将,2
1000,上海绅公馆属于什么星级水平？,五星级,4
1001,花都兵王有多少字？,285639,4
1002,宋勇属于哪个党派？,中国共产党,6
1003,声籁em350 如何佩戴？,头戴式,1
1004,hp pro 3000 mt vk190av使用什么cpu型号？,int el 奔腾双核 e6600,6
1005,铁锌钙咀嚼片是什么规格的？,片剂,1
1006,维多利亚号邮轮有多少客房？,964间,4
1007,爱仕达ap-y5006使用多大功率？,900w,4
1008,buzzsaw的资费提示如何？,免费,1
1009,马克思主义民族理论与政策专业硕士研究生点有哪些学校？,内蒙古自治区 (10126)内蒙古大学,6
1010,tt spedo vi90001w2z的机箱结构如何？,游戏机箱,1
1011,血型性格学说有何缺点？,挑剔，压抑，固执，紧张，复仇心强,1
1012,htc one有哪个商家生产？,htc,6
1013,东风村地处哪里？,麻布岗镇北部,3
1014,南圣本图有多少人？,"9,620",4
1015,香港的地标建筑有？,天坛大佛,3
1016,mobb deep的相关团体有哪些？,"infamous mobb, wu-tang clan",6
1017,智能家居使用什么技术？,综合布线技术、网络通信技。,1
1018,新风街车位情况如何？,十分紧张,1
1019,拉里·约翰逊有多高？,6英尺7英寸（2.01米）,4
1020,拉里·约翰逊的体重有多少？,235英磅（107千克）,4
1021,浮世沧声的翻唱作品有？,翻唱：胭脂殇,6
1022,张圩村有多少党员？,108名,4
1023,2011中日韩国际供热采暖、热泵空调产品与技术展览会何时展览？,2011/8/25至2011/8/27,5
1024,自主创新产品政府首购和订购管理办法有哪个单位发文？,财政厅,6
1025,孙悟空还被叫做什么？,孙大圣，孙行者，行者孙，者行孙,2
1026,樟树有哪些知名产业？,中药文化、酒文化、盐业,6
1027,倪萍有哪些其他成就？,"中国电影金鸡奖最佳女主角, 中国电影华表奖最佳女主角, 中国广播影视星光奖最佳主持人, 中国广播电视节目主持人金话筒奖",2
1028,数控技术的asin是多少？,b003icxpfo,4
1029,白马河由哪里发源？,山西寿阳县西部要罗山麓的颉家河村,3
1030,在哪些地区流行过三月三？,广西,3
1031,天浆的词义是？,①天上的饮料、浆汁,1
1032,沈从文的笔名叫什么？,甲辰，上官碧，璇若,2
1033,欧达hdv-z68的有效像素是多少万？,500万,4
1034,世格软件需要注意什么？,非信用证方式下，此步骤省略。,1
1035,请问排毒美肌足疗馆的装修风格是什么？,平装,1
1036,请问诺基亚asha 200 的外观是什么样的？,和诺基亚asha 2010,1
1037,请问奋达c10流金岁月的音箱是什么类型的啊？,：电脑音箱,6
1038,请问咬药锭这个处方来源是什么啊？,《外科十三方考》,6
1039,请问要听爸爸的话！总共有多少册？,17卷 14卷,4
1040,"请问2-氧代-1,5-戊二酸的中文别名是什么？",2-氧代戊二酸;,1
1041,请问弗吉尼亚级核潜艇数量是多少？,30艘/5艘建造中竣工11艘服役[1],4
1042,请问活络贴的规格是什么啊？,12*15cm 5/10贴,1
1043,请问重庆亿新建筑工程有限公司的基础是什么？,建筑安装工程,6
1044,请问王军的学历是什么？,教授,2
1045,请问布拉德利在场上的职位是什么啊?,教练,2
1046,请问开发必应这个软件的公司是什么？,微软公司,6
1047,请问《远大前程》的主要演员是谁？,是安,2
1048,请问韩晓的属相是什么？,狗,2
1049,请问关于做好第二批教育实践活动查摆问题、开展批评工作的通知的要求是什么？,从严从实找准突出问题,1
1050,请问小笼包属于哪种分类？,面点，,6
1051,请问女皇的代表是谁？,武则天,2
1052,请问宋慧乔喜欢做什么？,游泳,2
1053,请问阿瑞斯的父母是谁？,万神之王宙斯（父） 众神之后赫拉（母）,2
1054,请问守护甜心之仇恨的心这本小说现在的状态是什么？,已完结,1
1055,请问三星s5830i的屏幕尺寸是什么？,3.5英寸 480x320像素,4
1056,请问铔的四角代码是什么？,81712,4
1057,请问孝慈高皇后的名字是什么？,不详,2
1058,请问海南虎斑鳽用中文拼音怎么拼？,hǎi nán hǔ bān yan,1
1059,请问艾奇视频电子相册制作软件的软件授权是什么？,共享软件,1
1060,请问koyo 45236轴承的内径是多少？,180mm,4
1061,请问文明5的运行环境是什么？,winxp/winvista/windows7/8[1],1
1062,请问动态城堡有多高？,420米,4
1063,请问烟火是由谁作词作曲？,李子恒,2
1064,请问学不会这首歌出自哪个专辑？,：壁虎漫步,6
1065,请问至少还有你是由哪个公司出品的？,维京音乐（virgin music）,6
1066,请问南京总统府的建筑年代是什么？,明朝-中华民国,5
1067,请问肯辛通62220的适用机型是什么？,15寸屏幕笔记本,6
1068,请问2-氰基-2-甲基丙酸乙酯的cas值是什么？,1572-98-1,4
1069,请问kill的反义词是什么？,save ?spare,1
1070,请问与祖逖智退桃豹兵有关的人物是谁？,祖逖,2
1071,请问香港信贷的上市代码是多少？,1273,4
1072,请问阿伯丁的夏令时间是什么啊？,pdt（utc-7）,3
1073,请问许志安的婚姻现状是什么？,已婚,2
1074,请问普渡大学的老师有多少?,"6,614",4
1075,请问乳晕的主要症状是什么？,乳晕发黑，乳晕大,1
1076,请问脱硫脱硝成套设备是什么系统？,氢氧化镁浆液制备系统,6
1077,请问大长今的韩文是什么？,??,1
1078,请问中国长江三峡集团公司的董事长是谁？,卢纯,2
1079,请问越南战争发生的日期是？,1955年11月1日[1]–1975年4月30日 (19年5月4周又1天),5
1080,请问中国国家足球队的角逐赛事有哪些？,fifa世界杯、afc亚洲杯,6
1081,请问《远大前程》是在哪里发行的？,大陆,3
1082,请问宾利的主要产品有哪些？,欧陆、飞驰、慕尚、雅骏、雅致,6
1083,请问熊猫看书适用于哪种手机？,m8,6
1084,请问明基gl2750这种产品是哪种类型的？,led显示器,6
1085,请问迈克尔·乔丹在哪里上的大学？,北卡罗莱纳大学教堂山分校,6
1086,请问伊藤加奈惠出道时的作品是什么？,《守护甜心！》日奈森亚梦,6
1087,请问海王星有多重？,1.0247e26千克,4
1088,请问中国人民解放军海军现在的规模有多大？,现役23.5万人 舰船300余艘 飞机600余架 航空母舰1艘 船坞登陆舰3艘 驱逐舰24艘 护卫舰66艘 潜艇70艘 导弹快艇80余艘,1
1089,请问松平片栗虎的声优名字是？,若本规夫（日本）,2
1090,请问koyo 32fc23170轴承的外径是多少？,230mm,4
1091,请问拥有北京八喜联合竞技足球俱乐部的集团是？,北京控股集团,6
1092,请问铔的unicode名称是？,cjk,1
1093,请问乔丹体育股份有限公司是在哪里成立的?,福建泉州晋江,3
1094,请问黄真伊在台湾又称为什么？,黄真伊 一代名伎黄真伊,1
1095,请问给三家冲组命名的人是？,黄汲清，徐克勤,2
1096,请问魏国的首都在哪里？,安邑,3
1097,请问有种你爱我的出品人是谁？,冯凯帅??关旭?相贤古,2
1098,请问timken 1986/1932-b轴承是哪个系列的？,带法兰单列,6
1099,请问梅江流域的面积有多大？,13929平方公里,4
1100,请问投资新余市泉州工业园是哪个公司？,香港信诚集团（国际）有限公司,6
1101,请问《忘忧草》的作词者是谁啊？,陈没,2
1102,请问裘锦秋中学现在的教师人数有多少？,52人,4
1103,请问下高吉2011年的人口有多少？,99,4
1104,亲吻真恋～寄语枫秋～的发行阶段是什么？,已发行,1
1105,请问守望者又被其他地方翻译为什么？,青春夜行,1
1106,请问厉以宁获得了什么荣誉？,福冈亚洲文化奖,2
1107,请问增城宁西镇泰学校总共有多少个教学班？,33个,4
1108,请问初一具体在哪一天？,农历每月第一天,5
1109,请问陆鹏安擅长哪些科目？,生化、数学,2
1110,请问意尔康总共有多少职员？,15000人,4
1111,请问氢氟酸的沸点为多少？,112.2℃,4
1112,请问极品卧底这本小说的书号是多少啊？,335327,4
1113,请问毒驾的影响是什么？,多人伤亡的恶性交通事故,1
1114,请问内2优111的品种名称是什么？,内2优111,6
1115,请问白泥井村的降水量为多少啊？,年降水量1100 毫米,4
1116,请问盎格鲁人是哪个国家的人？,丹麦,3
1117,请问深圳市博爱医院的具体地址在哪里？,广东省深圳市罗湖区红岭中路2056号,3
1118,请问堀田站属于哪个铁道？,名古屋铁道,3
1119,请问魏武侯谋事的主角是谁？,魏武侯,2
1120,请问民主党是在什么时候建立的？,1828年（现代） 1792年（历史）,5
1121,请问奇瑞z5的最大功率是多少？,170马力,4
1122,请问新和村的常住人口有多少？,722,4
1123,请问蓟县西龙虎峪乡卫生院是哪年建立的？,1970,5
1124,请问后宫甄嬛传可以在哪里播出？,台湾,3
1125,请问山东大学的员工有多少啊？,10200人（教职工，含威海校区和3所附属医院）[7],4
1126,请问红米有哪些颜色？,中国红、金属灰、象牙白,6
1127,请问陌生人是在哪年出品的？,2005年,5
1128,请问和平村管辖了什么？,1个村民小组,1
1129,请问北影gt240 阿波罗 tc1g的核心频率是多少啊？,550mhz,4
1130,请问病毒i-worm/dumaru.b的长度为？,33k,4
1131,请问天盛（m60）主要出产的作物是哪种？,西甜瓜,6
1132,请问中国石油天然气第七建设公司是什么类型的企业？,建筑施工企业,6
1133,请问西安交通大学软件学院的院长是谁？,王飞跃,2
1134,请问三星galaxy mega 5.8（i9158/移动版）的电池容量是多少？,2600mah,4
1135,请问半岛铁盒z5的二级缓存为多少？,256mb,4
1136,请问《忘忧草》的作曲者是谁？,宇德敬子,2
1137,请问北京地铁亦庄线能够行驶的最高速度是多少？,80公里/小时,4
1138,请问鸳鸯胶适用范围是什么？,防水封边,1
1139,请问恶作剧之吻是哪个国家制作的？,韩国,3
1140,请问国际电机与系统大会是哪个学会主办的？,中国电工技术学会（ces）,6
1141,请问继发性肝癌的发病部位在哪里啊？,肝脏,6
1142,请问合肥站的站台数目有多少啊？,9,4
1143,请问格勒尔斯多夫在2005年有多少人口？,880,4
1144,请问众泰z500的参考价格是多少？,9-13万,4
1145,请问龙潭水库的集水面积有多大？,156平方公里,4
1146,请问感染清除者秒伤为多少？,82.6,4
1147,请问旭光村属于哪个乡镇？,撮镇镇,3
1148,请问卜宅（南宋·陶庚四）的正文是什么？,卜宅南山下，依然气象新；,1
1149,请问徐筠现在的职务是？,专家教授,2
1150,请问海尔bcd-231wdcv的能效能达到几级？,1级,4
1151,请问怎么操作浣熊超人？,方向键控制浣熊超人移动,1
1152,请问薪酬管理印刷次数有几次？,3,4
1153,请问高田ic 连接了哪些道路？,富山县道、石川县道18号冰见田鹤滨线,3
1154,请问春蕾是哪种品种类别？,桃树,6
1155,请问三大自然灾难之谜发生在什么时候？,公元1626年5月30日,5
1156,请问aniplex的母公司是什么？,索尼音乐娱乐（全资）,6
1157,请问intel core 2 duo e6700 的制作工艺是什么？,65nm,1
1158,请问依空法师主编了哪本书？,《中国佛教百科全书》,6
1159,请问刘长春是什么时候入党的？,1996年4月,5
1160,请问主要导致幻想症的病因是什么？,处在郁闷和压抑中,1
1161,请问大龙潭村的耕地总面积总共有多大？,125亩,4
1162,请问浙江百世物流科技有限公司的企业精神是什么？ ,成就商业?精彩生活,1
1163,请问河捞面是什么品种的面食？,一种古老的面食品种,6
1164,请问悉尼足球俱乐部参加了什么联赛？,澳大利亚职业足球联赛,6
1165,请问巴纳德星温度有多高？,"3,134 ± 102k",4
1166,请问南昌工程学院的校训是什么？,忠信笃行，自强不息,1
1167,请问长海医院总共有多少张病床？,1800余张,4
1168,请问龋齿牙痛这种病常见发作人群为？,幼儿，老年人,1
1169,请问薇甘菊是谁命名的？,"kunth, 1820",2
1170,请问邮政局的局长是谁？,马军胜,2
1171,请问最游记总共有多少话？,全55话,4
1172,请问鸿基9600gt sp48 龙骨少帅版(tc1g)的显存位宽是什么？,128bit,4
1173,请问东莞宏其纺织染整助剂厂有限公司的经营模式是什么？,私营独资企业,1
1174,请问神雕侠侣的主题曲是什么？,《神话.情话》,6
1175,请问方正fp160xw的对比度多少？,500:01:00,4
1176,请问鹿豚属于哪个亚纲？,真兽亚纲,6
1177,请问王静在哪里工作？,北京国医中联医院,6
1178,请问雪丰钢铁的总资产是多少？,22.46 亿,4
1179,请问食品中总砷及无机砷的测定是在哪天实施的？,2003/8/11,5
1180,请问湖北志诚化工科技有限公司的固定资产有多少？,3800多万元,4
1181,请问《活佛济公》总共有多少集？,42集,4
1182,请问城关镇出过哪个名人？,庄子,2
1183,请问爱国歌是在什么时候被采用的？,1948,5
1184,请问赵光祖的马-赖式名称是什么？,cho kwangjo,1
1185,请问大雄的恐龙日语假名是什么？,のびたのきょうりゅう,1
1186,请问九龙巴士5a线能途径哪里？,尖沙咀码头,3
1187,请问东海大桥是在什么时候开工的啊？,2002年6月26日,5
1188,请问去么龙村的交通状况如何？,方便,1
1189,请问多少人参与了斯摩棱斯克战役？,"130,000人",4
1190,请问永盂被收藏在哪里？,西安市博物馆,3
1191,请问一仆二主是哪个公司出品的？,新丽传媒出品，尚世影业,6
1192,请问三隧的词语解释是什么？,犹言三道,1
1193,请问怎样才能联系到天主教维多利亚教区啊？,http://www.rcav.org/,1
1194,请问治大国若烹小鲜的出处在哪里？,老子《道德经?》第六十章,6
1195,请问伊芙丽起源于哪里？,"elegant i,faith i,natural i",3
1196,请问win32.vb.za.1097504的威胁级别是什么？,1,4
1197,请问卢布的其他外文名是什么？,российский рубль 俄文,1
1198,请问水果有哪些不同的味道？,酸甜、清淡,1
1199,"请问1,8-萘二甲酸酐的cas号是多少？",81-84-5,4
1200,请问kodakimg.exe这个进程的名称是什么？,kodak imaging,1
1201,请问我还活着是在什么时候发行的？,2012年3月7日(pc),5
1202,请问付辛博从属于哪个经纪公司？,奇创幻想,6
1203,请问和君正德人力资源机构是哪个国家的机构？,中国,3
1204,请问高田ic的记号是什么？,高田,1
1205,请问《远大前程》是在什么时候进行首播？,2013年,5
1206,请问汉斯·亚当二世在位了多长时间？,1989年11月13日至今 （25年89天）,5
1207,请问宏碁的营业额是多少？,▼ 3298亿3500万新台币 (2014)[1],4
1208,请问什么时候可以进行台北联营公车247路线的服务咨询？,06：30～20：30,5
1209,请问脱狱暗夜传说可以在别的什么平台上使用啊？,诺基亚,6
1210,请问yotaphone 2的网络制式是什么啊？,支持4g网络[3],6
1211,请问利盟 x652de包含了哪些功能？,复印/打印/扫描/传真,1
1212,请问星野飞鸟是哪年开始举行的？,2004年(水着),5
1213,请问共通通讯vd500的网络类型是什么？,cdma,6
1214,请问与宫相关的节目有哪些？,英才的全盛时代,6
1215,请问汕头市正全网络科技有限公司致力于什么工作？,webgame游戏开发,1
1216,请问沉香树大概有多高？,5~18米,4
1217,请问与关铃相关的文献有哪些？,水浒传,6
1218,请问富莱克阀2850st的工作温度为多少啊？,0.2mpa—0.6mpa,4
1219,请问阿伯丁的人口密度有多大？,598.0/km? (1548.8/mi?),4
1220,请问加油的英文怎么说？,come on,1
1221,请问南区属于哪个部门？,北海道 石狩振兴局,6
1222,请问e-3lue宜博魅影狂蛇gm05-r鼠标 的鼠标接口是什么？,usb,6
1223,请问感染清除者的能卖多少钱？,19金23银61铜,4
1224,请问悦富强城的产前年限是多少年？,70,5
1225,请问依丝娜的武器是什么？,闇之镰暗黑巨镰,6
1226,请问二战经典战役全记录的版权属于哪个公司？,北京兴盛乐书刊发行有限责任公司,6
1227,请问感染是一种传染病吗？,是,1
1228,请问四喜丸子属于哪种菜系？,鲁菜,6
1229,请问鼎湖紫珠属于哪种系列？,纵裂药系,6
1230,请问nachi 681a/672轴承的型号是什么？,681a/672,6
1231,请问亮氏情歌出自哪张专辑?,《你到底爱谁》《亮·情歌2》,6
1232,请问天津市工商业联合会金属材料业商会这个机构属于什么类别？,商会,6
1233,请问巴布亚新几内亚属于哪个洲？,南美洲,3
1234,请问itunes是什么许可协议的软件？,免费应用软件,6
1235,请问龙潭水库的具体位置在哪里？,重庆市酉阳土家族苗族自治县,3
1236,请问恒大名都的装修情况是什么？,精装修,1
1237,请问南港北出入口的ic编号是什么啊？,4月2日,4
1238,请问htc aria手机的制式是什么？,gsm，wcdma,6
1239,请问绿釉陶楼是在哪里出土的？,安徽涡阳大王店,3
1240,请问斐讯fs3800-16的应用层级有多高？,二层,4
1241,请问ntn 6012zz轴承的内径有多大？ ,60,4
1242,请问项目信息发布的前提是什么？,项目沟通计划,1
1243,请问教育科学研究成果应该具有什么特点？,具有研究价值,1
1244,请问斯摩棱斯克战役中伤亡与损失的人数有多少？,"11,000人",4
1245,请问是谁出版了《食虫植物》啊？,academic press,2
1246,请问明治大学的知名校友有哪些？,三木武夫、村山富市、高仓健,2
1247,请问nec 1530v的动态对比度为多少？,：200:1,4
1248,请问渔翁岛灯塔的频率是多少？,每5秒闪白光1次 〈明3秒、暗2秒〉,4
1249,请问apples组合的腾讯微博名称是什么？,angela,2
1250,请用wrl举一个例子？,#vrml v2.0 utf8,1
1251,请问芈的部外笔画有多少？,5,4
1252,请问女孩堆雪人这个游戏是属于什么分类呢？,换装,6
1253,请问夜店这部影片名称是什么啊？,夜店,6
1254,请问回旋式电子加速器mib系列的产品特点是什么？,小焦、图像清晰度好,1
1255,请问h-iia运载火箭的发动机是什么？,srb-a,6
1256,请问遵从三位一体是哪个宗教？,基督教,6
1257,请问是谁设计了肯尼迪半美元？,吉尔罗伊·罗伯茨（gilroy roberts）,2
1258,请问民族统一战线的核心是什么？,领导权问题是中心问题,1
1259,请问沥青乳化剂有哪些包装？,50或200公斤/桶,1
1260,请问helpcontext是什么意思？,设置或返回帮助文件主题的上下,1
1261,请问大水牛s系列s0203有多少个3.5英寸仓位？,1个,4
1262,请问司马懿被封了什么爵位？,舞阳侯,2
1263,什么赚族网是什么时候创建的？,2007年12月9日,5
1264,请问台北故宫博物院收藏了那些精品？,翠玉白菜、毛公鼎、散氏盘、快雪时晴帖等,6
1265,请问三亚水业海景大酒店是什么时候装修的呢？,2005年,5
1266,请问与全身持续性水肿相关的疾病有哪些啊？,肺水肿 动脉硬化 高血压 肝硬化 肾病综合征 库欣综合征 遗传性血管性水肿 缩窄性心包炎 烧伤 淋巴水肿 小儿营养不良 麻疹 荨麻疹和血管性水肿 梅毒 血管神经性水肿 新生儿水肿 四肢淋巴水肿 小儿营养不良性水肿 急性肾小球肾炎 慢性肾小球肾炎 充血性心力衰竭 高原肺水肿 高原脑水肿 黄斑囊样水肿 妊娠呕吐 小儿肺水肿 小儿遗传性血管神经性水肿 肝炎 溢饮,6
1267,请问是谁设计了越南国旗？,阮友秦,2
1268,请问第二次鸦片战争的主要指挥官是谁呀？,爱德华·霍巴特·西摩尔，葛罗，额尔金伯爵,2
1269,请问诺贝尔奖是什么时候设立的？,1900年（庚子年）6月,5
1270,请问大黄蜂号航空母舰是什么时候开始投入使用的啊？,1941年10月,5
1271,请问最游记的人物设定是谁？,佐佐木敏子,2
1272,请问海尔空调kfrd-72lwz5的使用面积有多大？,32-53（㎡）,4
1273,请问是谁出品了cfgwiz.exe？,symantec corporation,2
1274,请问南瓜的原产地在哪里？,北美洲,3
1275,请问盐尻市的平假名是什么？,：しおじりし,1
1276,请问海棠的同伴是谁？,李逍遥,2
1277,请问日向花火属于哪个地方啊？,火之国?木叶隐之村,3
1278,请问腾讯qq的稳定版本是什么？,稳定版本   腾讯qq (6.6)（简体中文，windows） (2014年11月18日（30天前）) [±] qq international (2.11)（multi-language，windows） (2014年1月22日（10个月前）) [±]qq for mac (3.1.2)（简体中文、英文，mac） (2014年5月20日（6个月前）) [±],6
1279,请问什么时候立春啊？,每年的2月3日-5日,5
1280,请问是在哪个地方制作的《无懈可击之高手如林》啊？,中国大陆,3
1281,请问是什么时候颁布的“十二五”规划啊？,2011年3月14日,5
1282,请问比亚迪e6的生产厂商是哪个公司？,比亚迪汽车公司,6
1283,请问平克·弗洛伊德在那些年非常活跃？,1967-,5
1284,请问亚利桑那州立大学的校园环境是什么样的？,城市型大学,1
1285,请问流星花园在哪些电视台播出啊？,朝日电视台 传讯电视大地频道、台视、华视、 纬来日本台、三立都会台,6
1286,请问罗帅签约了哪家公司？,北京未来广告有限责任公司,6
1287,请问hg70d的性能是什么？,具有高的轻度，良好的抗疲劳,1
1288,请问加治木由美是哪个年级的呢？,高中三年级,2
1289,请问张家长李家短的繁体字怎么写啊？,張家長李家短,1
1290,请问魔典md-06b(2gb)的接口是什么样的技术？,usb2.0,6
1291,请问鼓楼区用汉语怎么拼？,gulou qu,1
1292,请问滴滴打车的产品名称是什么？,滴滴打车,6
1293,请问《鼓·达人》蓝光版发行的地区是哪里？,大陆,3
1294,请问广德公主姓什么？,朱,2
1295,请问保险合同生效的条件是什么？,主体合意,1
1296,请问制作百香果渍青木瓜需要多长时间啊？,3小时,5
1297,请问tmp三羟甲基丙烷的化学式怎么写啊？,c(ch3ch2ch2oh)3,1
1298,请问童年症的具体症状是什么？,喜欢看动画片，跟年纪比自己小一,1
1299,请问和平社区所管辖的面积有多大啊？,1200多亩,4
1300,请问crsss.exe的进程文件是什么？,crsss 或者 crsss.exe,6
1301,请问安得拉邦的首府是哪里啊？,海得拉巴,3
1302,请问孝谦天皇的年号是什么啊？,天平胜宝、天平宝字（孝谦朝）,2
1303,请问东乡平八郎是什么时候死的？,1934年05月30日（86岁） ?大日本帝国 东京市,5
1304,请问荷兰学院所在的地方在哪里呢？,爱德华王子岛省,3
1305,请问百褶帘的控制方式是什么啊？,手动拉绳控制,1
1306,请问捷波694as的显示芯片是什么？,集成芯片声卡,6
1307,请问三亚站的站名用中文怎么拼写？,sanya,1
1308,请问黑暗血时代的作品标签有哪些？,升级练功、生存、爽文,1
1309,请问粉红石英的底色是什么？,其他 | other,6
1310,请问是谁命名了紫丁香啊？,"chron,1859",2
1311,请问牵手一生网站的服务理念是什么？,建立真诚交友、严肃婚恋的平台,1
1312,请问与全身持续性水肿相关的症状有哪些？,创伤 丹毒 腹水 肝源性水肿 肝肿大 高血压 颈静脉怒张 静脉血栓 门脉高压 黏液性水肿 尿常规异常 脓胸 全身持续性水肿 热痛 面部水肿 肾源性水肿 特发性水肿 体重减轻 下肢水肿 消瘦 心源性水肿 眼底改变 阴囊水肿 营养不良,1
1313,请问大话西游3是什么样的方式来运营的啊？,时间收费,1
1314,请问全身持续性水肿的患病部位主要是？,全身,6
1315,请问卡洛斯·特维斯在国家队取得过什么样的成绩啊？,59场/13球,2
1316,请问易方达科讯是在什么时候成立的啊？,20080111,5
1317,请问溪口镇附近有什么机场吗？,黄山机场,3
1318,请问2014世界互联网大会的展会名称是什么啊？,首届世界互联网大会?乌镇峰会[2],1
1319,请问弗兰基spas-15霰弹枪的基本规格是什么？,标准型：  空枪：3.9 千克（8.5 磅） 上弹：4.1 千克（9.04 磅）,1
1320,请问上海金苗幼儿园是什么时候开办的啊？,1996,5
1321,请问祈福电影中心的服务宗旨是什么？,免费,1
